invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S27848300001,2015-10-12,3790,Wal-Mart 0784 / Mt Pleasan,1045 N GRAND AVE,MT PLEASANT,52641,POINT (-91.539034 40.978416),44,Henry,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,1400,Crown Royal w/2 Glasses,6,750,15.0,22.5,66,1485.0,49.5,13.08
S30590700029,2016-02-08,5204,Quik Stop  /  Burlington,1812 OSBORN ST,BURLINGTON,52601,POINT (-91.112658 40.826163),29,Des Moines,1031100.0,100 PROOF VODKA,297.0,Laird And Company,35913,Five O'clock Vodka,48,200,1.13,1.7,48,81.6,9.6,2.54
S05878500024,2012-06-05,3477,Sam's Club 6472 / Council Bluffs,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,51501,POINT (-95.847163 41.225208),78,Pottawattamie,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.21,3.31,144,476.64,144.0,38.04
INV-05780600013,2017-06-28,3447,Sam's Club 6432 / Sioux City,4201 S. York St.,Sioux City,51106,POINT (-96.37082 42.43407),97,WOODBURY,1081100.0,Coffee Liqueurs,421,SAZERAC COMPANY  INC,67586,Kapali Coffee Liqueur,12,750,5.05,7.58,84,720.72,63.0,16.64
INV-05775700006,2017-06-28,2522,Hy-Vee Wine and Spirits / Spirit Lake,Hwy 9 & 71,Spirit Lake,51360,,30,DICKINSON,1092100.0,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,48,324.96,48.0,12.68
INV-36845700009,2021-05-21,3910,Riverside Casino And Resort,3184 Highway 22,Riverside,52327.0,POINT (-91.531499 41.496387000000006),92,WASHINGTON,1011600,Straight Rye Whiskies,255,Infinium Spirits,27175,Templeton Rye 4YR,6,1000,21.0,31.5,6,189.0,6.0,1.58
S13664600061,2013-07-31,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,60,685.8,60.0,15.85
S23864600106,2015-02-04,2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,POINT (-92.435236 42.512789),7,Black Hawk,1081340.0,ROOT BEER SCHNAPPS,380,Phillips Beverage Company,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,4,33.0,4.0,1.06
S19719700065,2014-06-24,2619,Hy-Vee Wine and Spirits / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808855 41.598515),77,Polk,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.09,27.14,18,488.52,13.5,3.57
S33324700013,2016-07-12,2665,Hy-Vee / Waukee,1005 E Hickman Rd,Waukee,50263,POINT (-93.854477 41.615059),25,Dallas,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,Sidney Frank Importing Co.,3135,Jagermeister w/2 Shot Glasses,12,750,12.05,18.08,84,1518.72,63.0,16.64
S33584700201,2016-07-26,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266,POINT (-93.808855 41.598515),77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,250,Avion Silver w/Powell & Mahoney Margarita Mix,6,750,24.98,37.47,90,3372.3,67.5,17.83
INV-18204200080,2019-03-18,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,180,653.4,180.0,47.55
INV-24113100010,2019-12-23,3890,Smokin' Joe's #7 Tobacco and Liquor Outlet,904  1st Ave NW,Cedar Rapids,52405.0,POINT (-91.683669 41.972773),57,LINN,,,55,SAZERAC NORTH AMERICA,84197,99 Pineapple Mini,10,600,6.0,9.0,2,18.0,1.2,0.31
INV-24268000020,2019-12-31,3993,New Star Liquor / W 4th S / Waterloo,1625 West 4th St,Waterloo,50701.0,,7,BLACK HAWK,1062100.0,Gold Rum,35,BACARDI USA INC,43031,Bacardi Gold Mini,12,50,5.54,8.31,4,33.24,0.2,0.05
INV-02880700047,2017-01-24,2465,Sid's Beverage Shop,2727 Dodge St,Dubuque,52003,POINT (-90.705328 42.491862),31,DUBUQUE,1062100.0,Gold Rum,35,BACARDI USA INC,43031,Bacardi Gold Rum Mini,12,500,5.54,8.31,5,41.55,2.5,0.66
INV-30633000143,2020-09-29,2572,Hy-Vee Food Store / Cedar Falls,6301 University,Cedar Falls,50613.0,POINT (-92.435236 42.512789),7,BLACK HAWK,1062300.0,Aged Dark Rum,421,SAZERAC COMPANY  INC,42167,Myers's Original Dark Rum,12,1000,13.0,19.5,2,39.0,2.0,0.52
S21419200004,2014-09-24,3869,Bootleggin' Barzini's Fin,412  1ST AVE,CORALVILLE,52241,POINT (-91.565517 41.672672),52,Johnson,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,837,"The Glenlivet Tasting Kit w/12YR 200ml, 15YR 200ml & 18YR 200ml",6,600,34.99,52.49,6,314.94,3.6,0.95
S30696800117,2016-02-11,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131,POINT (-93.697731 41.665172),77,Polk,1031100.0,100 PROOF VODKA,421.0,"Sazerac Co., Inc.",38089,Platinum 7x Vodka,48,100,0.89,1.34,48,64.32,4.8,1.27
INV-31899300015,2020-11-13,5309,Royal Food,1443 2nd Ave,Des Moines,50314.0,POINT (-93.619783 41.605229),77,POLK,1700000.0,Temporary &  Specialty Packages,65,Jim Beam Brands,430,Jim Beam 50ml Holiday 4pk,12,50,2.0,3.0,36,108.0,1.8,0.47
INV-31981600004,2020-11-16,3618,Wal-Mart 2716 / Cedar Rapids,3601 29th Ave SW,Cedar Rapids,52404.0,POINT (-91.718042 41.949215),57,LINN,1700000.0,Temporary &  Specialty Packages,260,DIAGEO AMERICAS,101217,Captain Morgan OSR PET 6/1.75l  w/ 50ml CM Sliced Apple,6,1750,18.0,27.0,36,972.0,63.0,16.64
INV-39673900119,2021-08-31,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761.0,POINT (-91.035138 41.451349),70,MUSCATINE,1091200,Neutral Grain Spirits,434,LUXCO INC,41846,Everclear 151,12,750,9.0,13.5,60,810.0,45.0,11.88
INV-39702900142,2021-08-31,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14,CARROLL,1011600,Straight Rye Whiskies,255,Infinium Spirits,27125,Templeton Rye 6YR,6,750,22.75,34.13,30,1023.9,22.5,5.94
INV-29974100066,2020-09-03,2582,Hy-Vee #2 Food Store / Mason City,551 S Illinois Ave,Mason City,50401.0,POINT (-93.17114 43.14623),17,CERRO GORD,1011600.0,Straight Rye Whiskies,255,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,6,189.0,6.0,1.58
INV-36577200001,2021-05-12,2565,Hy-Vee Food Store #1636 / Spencer,819 N Grand Ave,Spencer,51301.0,POINT (-95.14506 43.145897),21,CLAY,1011300,Single Barrel Bourbon Whiskies,184,FOUR ROSES DISTILLERY,18350,Four Roses Single Barrel,6,750,22.5,33.75,36,1215.0,27.0,7.13
S16673000012,2014-01-06,3591,Ackley Super Foods,526 MAIN ST,ACKLEY,50601,POINT (-93.055216 42.554159),94,Webster,1051110.0,BLACKBERRY BRANDIES,434,Luxco-St Louis,55088,Paramount Blackberry Brandy,6,1750,11.29,16.94,3,50.82,5.25,1.39
INV-32061000087,2020-11-18,2555,Hy-Vee Food Store / Keokuk,3111 Main,Keokuk,52632.0,POINT (-91.403752 40.41538),56,LEE,1700000.0,Temporary &  Specialty Packages,260,DIAGEO AMERICAS,101216,Captain Morgan OSR 6/1.75l  w/ 50ml CM Sliced Apple,6,1750,18.0,27.0,90,2430.0,157.5,41.6
INV-23828600019,2019-12-11,5146,Fareway Stores #153  /  W Des Moines,329 Grand Ave,West Des Moines,50265.0,POINT (-93.70689 41.58269000000001),77,POLK,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67526,Kahlua Coffee,12,750,12.49,18.74,72,1349.28,54.0,14.26
INV-23879500055,2019-12-12,2515,Hy-Vee Food Store #1 / Mason City,2400 4th St SW,Mason City,50401.0,POINT (-93.235588 43.148451),17,CERRO GORD,1091300.0,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,86843,Ole Smoky Salty Caramel Whiskey,6,750,10.0,15.0,18,270.0,13.5,3.56
INV-40037600033,2021-09-13,5949,Uptown Liquor & Tobacco / Cedar Rapids,2000 Wiley Blvd SW STE 106,Cedar Rapids,52404.0,POINT (-91.725777 41.959614),57,LINN,1062100,Gold Rum,35,BACARDI USA INC,43038,Bacardi Gold,6,1750,15.0,22.5,3,67.5,5.25,1.38
S30519600038,2016-02-02,3705,Liquor Locker,507 1ST AVE #100,ROCK RAPIDS,51246,,60,Lyon,1081350.0,SPEARMINT SCHNAPPS,434.0,Luxco-St Louis,82187,Arrow Spearmint Schnapps,12,1000,5.0,7.5,5,37.5,5.0,1.32
INV-16756400027,2019-01-04,4156,Fareway Stores #412 / Oelwein,102  2nd Ave SE,Oelwein,50662,POINT (-91.910502 42.677024),33,FAYETTE,1091300.0,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,86739,Ole Smoky Apple Pie Moonshine 70prf Mini,8,300,8.75,13.13,8,105.04,2.4,0.63
INV-16882100032,2019-01-11,2178,Double D Liquor Store,618 Rossville Road,Waukon,52172,POINT (-91.473634 43.262114),3,ALLAMAKEE,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,1,9.74,0.37,0.09
S24001600032,2015-02-11,4478,U S Gas,"3000, SW 9th ST",DES MOINES,50315,POINT (-93.625682 41.557862),77,Polk,1051100.0,APRICOT BRANDIES,259,Heaven Hill Brands,52314,Christian Bros Brandy,24,375,3.23,4.85,5,24.25,1.88,0.5
S17871000030,2014-03-19,3524,Sam's Club 6568 / Ames,305 AIRPORT RD,AMES,50010,POINT (-93.613648 42.001123),85,Story,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.09,27.14,120,3256.8,90.0,23.78
S10365800032,2013-01-31,4180,Smokin' Joe's #10 Tobacco and Liquor,480 7TH AVE,MARION,52302,POINT (-91.605094 42.033366),57,Linn,1081305.0,APPLE SCHNAPPS,65,Jim Beam Brands,82604,Dekuyper Sour Apple Pucker,24,375,3.06,4.59,7,32.13,2.62,0.69
INV-05679500136,2017-06-22,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1092100.0,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,72,487.44,72.0,19.02
INV-05901900145,2017-07-05,2616,Hy-Vee Food and Drug / Clinton,901 South 4th St,Clinton,52732,POINT (-90.193204 41.836268000000004),23,CLINTON,1062100.0,Gold Rum,434,LUXCO INC,45248,Paramount Gold Rum,6,1750,7.84,11.76,24,282.24,42.0,11.1
S16776600081,2014-01-13,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081700.0,DISTILLED SPIRITS SPECIALTY,421,"Sazerac Co., Inc.",77487,Tortilla Gold Dss,12,1000,4.51,6.76,144,973.44,144.0,38.04
INV-18229400004,2019-03-19,3993,New Star Liquor / W 4th S / Waterloo,1625 West 4th St,Waterloo,50701,,7,BLACK HAWK,1062100.0,Gold Rum,35,BACARDI USA INC,43034,Bacardi Gold,24,375,4.5,6.75,7,47.25,2.62,0.69
INV-18227900139,2019-03-19,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703,POINT (-92.337583 42.530476),7,BLACK HAWK,1062100.0,Gold Rum,35,BACARDI USA INC,43034,Bacardi Gold,24,375,4.5,6.75,1,6.75,0.37,0.09
INV-12108900028,2018-05-16,4971,Fareway Stores #138 / Pleasant Hill,"5500, E University Ave",Pleasant Hill,50327,POINT (-93.505732 41.599274),77,Polk,1062100.0,Gold Rum,35.0,BACARDI USA INC,43040,Bacardi Gold Rum PET,6,1750,15.0,22.5,102,2295.0,178.5,47.15
INV-24096400014,2019-12-23,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14,CARROLL,1011600.0,Straight Rye Whiskies,65,Jim Beam Brands,27189,Basil Hayden Dark Rye,6,750,23.62,35.43,18,637.74,13.5,3.56
INV-40375800006,2021-09-23,2515,Hy-Vee Food Store #1 / Mason City,2400 4th St SW,Mason City,50401.0,POINT (-93.235588 43.148451),17,CERRO GORD,1062300,Aged Dark Rum,65,Jim Beam Brands,44442,Cruzan Blackstrap,6,750,8.2,12.3,18,221.4,13.5,3.56
INV-30697000054,2020-10-01,5251,Northside Liquor,1303 North Federal,Mason City,50401.0,POINT (-93.201061 43.163663),17,CERRO GORD,1091100.0,American Distilled Spirit Specialty,578,S&B Farms Distillery,77055,Sir Winston Peach,6,750,13.01,19.52,18,351.36,13.5,3.56
S29181200007,2015-11-19,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,POINT (-93.673222 41.600361),77,Polk,1011500.0,STRAIGHT RYE WHISKIES,260,Diageo Americas,27025,Bulleit 95 Rye,12,750,16.75,25.13,72,1809.36,54.0,14.27
S11345900081,2013-03-28,2545,Hy-Vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,POINT (-91.528105 42.207428),52,Johnson,1081400.0,TRIPLE SEC,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.21,3.32,4,13.28,4.0,1.06
S30983900023,2016-02-29,2636,Hy-Vee Wine and Spirits / Hubbell,2310 HUBBELL AVE,DES MOINES,50317,POINT (-93.573845 41.604312),77,Polk,1051140.0,PEACH BRANDIES,115.0,"Constellation Wine Company, Inc.",56193,Paul Masson Peach Grande Amber Brandy,24,200,1.96,2.94,24,70.56,4.8,1.27
INV-48179800010,2022-06-08,5293,The Boonedocks,"228, N Hwy 71",Arnolds Park,51331.0,POINT (-95.125928 43.370941),30,DICKINSON,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.99,23.99,2,47.98,2.0,0.52
S06415700066,2012-07-05,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,POINT (-94.974011 42.421341),81,Sac,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,14.99,22.48,4,89.92,4.0,1.06
S05489800001,2012-05-10,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,POINT (-91.960918 41.994458),57,Linn,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.75,5.62,48,269.76,48.0,12.68
S28565600082,2015-10-20,3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,POINT (-92.579446 41.985985),86,Tama,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,15.25,22.88,4,91.52,4.0,1.06
S33174400010,2016-07-01,9001,Cedar Ridge Vineyards,1441 Marak Rd NW,Swisher,52338,POINT (-91.67737 41.8321),52,Johnson,1012210.0,SINGLE MALT SCOTCH,125,"Cedar Ridge Vineyards,LLC",27357,Cedar Ridge Single Malt Single Barrel Select,6,750,27.5,41.25,90,3712.5,67.5,17.83
INV-11928300062,2018-05-07,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON,1081500.0,Triple Sec,434.0,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85
INV-11935900110,2018-05-07,2591,Hy-Vee Wine and Spirits / Atlantic,1602 E 7th St,Atlantic,50022,POINT (-94.990031 41.403856),15,CASS,1081500.0,Triple Sec,434.0,LUXCO INC,86507,Paramount Triple Sec,12,1000,3.84,5.76,4,23.04,4.0,1.06
INV-05445500002,2017-06-12,2538,Hy-Vee Food Store #3 / Waterloo,1422 Flammang Dr,Waterloo,50702,POINT (-92.327917 42.459938),7,BLACK HAWK,1901200.0,Special Order Items,259,Heaven Hill Brands,917914,HA Elijah Craig Cask Barrel Proof,3,750,29.92,44.88,18,807.84,13.5,3.57
S29733400113,2015-12-18,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15621,Jameson Mini,10,600,11.88,17.82,4,71.28,2.4,0.63
S21774000049,2014-10-14,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,Marshall,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28868,Tanqueray Gin,6,1750,24.99,37.49,3,112.47,5.25,1.39
INV-32115900001,2020-11-20,3868,Wal-Mart 3630 / Marion,5491 Business Hwy 151,Marion,52302.0,,57,LINN,1700000.0,Temporary &  Specialty Packages,260,DIAGEO AMERICAS,101181,Crown Royal Multibrand Advent Calendar,6,50,22.49,33.74,18,607.32,0.9,0.23
INV-40011600078,2021-09-13,2561,Hy-Vee Food Store / Fleur / DSM,4605 Fleur Drive,Des Moines,50321.0,POINT (-93.64494300000001 41.542748),77,POLK,1091100,American Distilled Spirit Specialty,662,IA-Native Spirits,75372,Lemoncello 50010,6,750,12.49,18.74,60,1124.4,45.0,11.88
INV-02320700006,2016-12-22,3447,Sam's Club 6432 / Sioux City,4201 S. York St.,Sioux City,51106,POINT (-96.37082 42.43407),97,WOODBURY,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee Liqueur,12,1000,14.99,22.49,240,5397.6,240.0,63.4
S07379700036,2012-10-05,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,POINT (-94.177165 42.508344),94,Webster,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,2870,Bailey's Original Irish Cream w/2 Glasses,6,750,13.0,19.5,72,1404.0,54.0,14.27
S07338200008,2012-10-26,2620,Hy-Vee / Windsor Heights,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,,77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,421,"Sazerac Co., Inc.",76436,Old St. Nick''s Egg Nog,12,750,3.63,5.45,60,327.0,45.0,11.89
S25180400119,2015-04-21,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,POINT (-90.668138 42.504959),31,Dubuque,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.84,5.76,4,23.04,4.0,1.06
S30557300014,2016-02-04,5113,"Ray's Supermarket, Inc.",1975 FRANKLIN ST,WATERLOO,50703,POINT (-92.315215 42.495394),7,Black Hawk,1052100.0,,420.0,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,24,206.64,4.8,1.27
S09484800001,2012-12-13,4141,Fareway Stores #975 / SE 22nd / DSM,3000 SE 22ND ST,DES MOINES,50320,POINT (-93.57748 41.556274),77,Polk,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,120,3255.6,90.0,23.78
S24517200030,2015-03-16,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081030.0,COFFEE LIQUEURS,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,72,906.48,72.0,19.02
INV-05690500027,2017-06-23,4291,Fareway Stores #597 / Creston,105 E Adams St,Creston,50801,POINT (-94.237509 40.715722),88,UNION,1062100.0,Gold Rum,35,BACARDI USA INC,43037,Bacardi Gold Rum,12,1000,9.5,14.25,5,71.25,5.0,1.32
INV-17897100064,2019-03-04,4152,Food Land Super Markets,407 W Huron,Missouri Valley,51555,POINT (-95.899346 41.557404),43,HARRISON,1062100.0,Gold Rum,434,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,2,13.26,2.0,0.52
INV-19169000013,2019-05-06,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401,POINT (-94.853591 42.064155),14,CARROLL,1062100.0,Gold Rum,35,BACARDI USA INC,43031,Bacardi Gold Mini,12,500,5.54,8.31,12,99.72,6.0,1.58
INV-26474100003,2020-04-13,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77,POLK,1901200.0,Special Order Items,65,Jim Beam Brands,936097,Gilbeys Vodka,12,1000,5.25,7.88,72,567.36,72.0,19.02
INV-40313100005,2021-09-22,9001,Cedar Ridge Vineyards,1441 Marak Rd NW,Swisher,52338.0,POINT (-91.67737 41.8321),52,JOHNSON,1700000,Temporary &  Specialty Packages,125,CEDAR RIDGE VINEYARDS LL,86990,Cedar Ridge Sir Maple,6,750,23.0,34.5,78,2691.0,58.5,15.45
INV-30758700021,2020-10-05,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240.0,POINT (-91.53046300000001 41.642764),52,JOHNSON,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,48,168.0,48.0,12.68
S30812800004,2016-02-18,5063,Logan Convenience Store,"735, LOGAN AVE",WATERLOO,50703,POINT (-92.337744 42.510453),7,Black Hawk,1031100.0,100 PROOF VODKA,255.0,Wilson Daniels Ltd.,37880,Seagrams Extra Smooth,24,200,1.76,2.64,24,63.36,4.8,1.27
INV-23543600014,2019-11-27,3549,Quicker Liquor Store,1414 48th St,Fort Madison,52627.0,POINT (-91.373211 40.62422600000001),56,LEE,1081100.0,Coffee Liqueurs,421,SAZERAC COMPANY  INC,67586,Kapali Coffee Liqueur,12,750,5.72,8.58,36,237.24,27.0,7.13
INV-29949800007,2020-09-02,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402.0,POINT (-91.668919 42.034799),57,LINN,1011600.0,Straight Rye Whiskies,434,LUXCO INC,27171,Minor Case Straight Rye,6,750,20.0,30.0,30,900.0,22.5,5.94
INV-30087000085,2020-09-09,5514,Johncy's Liquor Store,585 Hwy 965 Ste D & E,North Liberty,52317.0,POINT (-91.60761 41.738129),52,JOHNSON,1011600.0,Straight Rye Whiskies,255,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,6,189.0,6.0,1.58
INV-33889200035,2021-01-29,2607,Hy-Vee Wine and Spirits / Shenandoah,520 So Fremont,Shenandoah,51601.0,POINT (-95.385111 40.761736),73,PAGE,1081100,Coffee Liqueurs,65.0,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,5,62.95,5.0,1.32
S28238500181,2015-10-01,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,POINT (-93.739105 41.629364),77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,305,MHW Ltd,4114,Rumchata Iced Coffee Pack,6,750,12.5,18.75,36,675.0,27.0,7.13
S13019100037,2013-06-26,3625,Wal-Mart 0892 / Ankeny,1002 SE NATIONAL DR,ANKENY,50021,POINT (-93.582348 41.70486400000001),77,Polk,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,18,488.34,13.5,3.57
S18502100014,2014-04-21,3899,Wal-Mart 3762 / WDM,6365 STAGECOACH DR,WEST DES MOINES,50266,POINT (-93.795512 41.558107),77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,19081,Jim Beam Operation Homefront,6,1750,19.94,29.91,24,717.84,42.0,11.1
S23024900039,2014-12-18,4807,Williamsburg Foods,"103, W WALNUT ST",WILLIAMSBURG,52361,POINT (-92.007391 41.662819),48,Iowa,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82849,Dekuyper Peachtree Schnapps Pet,6,1750,11.54,17.31,4,69.24,7.0,1.85
S27304200029,2015-08-12,2625,Hy-Vee Wine and Spirits #2,3301 W KIMBERLY RD,DAVENPORT,52804,,82,Scott,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28868,Tanqueray Gin,6,1750,24.99,37.49,3,112.47,5.25,1.39
S20038300091,2014-07-10,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,POINT (-91.960918 41.994458),57,Linn,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.75,5.62,120,674.4,120.0,31.7
INV-18020600032,2019-03-08,3963,Tobacco Hut #14 / Council Bluffs,1925 W Broadway,Council Bluffs,51501,POINT (-95.873073 41.261866),78,POTTAWATTA,1062100.0,Gold Rum,35,BACARDI USA INC,43031,Bacardi Gold Mini,12,500,5.54,8.31,4,33.24,2.0,0.52
INV-23938500001,2019-12-16,4136,Fareway Stores #983 / Grimes,351 Gateway Dr,Grimes,50111.0,,77,POLK,1091100.0,American Distilled Spirit Specialty,154,DUNKEL CORPORATION,77805,Saints N Sinners Apple Pie,12,750,8.0,12.0,108,1296.0,81.0,21.39
INV-30244200003,2020-09-15,5352,Casey's General Store # 3565/ Tripoli,600 7th Ave,Tripoli,50676.0,,9,BREMER,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,3,29.22,1.12,0.29
INV-30208800030,2020-09-14,5339,Prime Star,395 Western Avenue,Marengo,52301.0,POINT (-92.074374 41.792953),48,IOWA,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,3,29.22,1.12,0.29
INV-30280200091,2020-09-16,2555,Hy-Vee Food Store / Keokuk,3111 Main,Keokuk,52632.0,POINT (-91.403752 40.41538),56,LEE,1062100.0,Gold Rum,35,BACARDI USA INC,43037,Bacardi Gold,12,1000,9.5,14.25,2,28.5,2.0,0.52
INV-30470200046,2020-09-23,5315,Brother's Market Wine and Spirits,110 South Main Street,Sigourney,52591.0,POINT (-92.20510500000002 41.333293),54,KEOKUK,1081500.0,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,2,7.26,2.0,0.52
INV-39999600001,2021-09-11,5292,John's Qwik Stop,"814, C Ave",Vinton,52349.0,POINT (-92.027865 42.163119),6,BENTON,1700000,Temporary &  Specialty Packages,205,E & J Gallo Winery,73065,RumChata Peppermint Bark,12,750,13.5,20.25,144,2916.0,108.0,28.53
INV-48272100239,2022-06-13,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761.0,POINT (-91.035301 41.450849),70,MUSCATINE,1091300.0,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,86739,Ole Smoky Apple Pie Moonshine 70prf Mini,8,50,8.75,13.13,3,39.39,0.15,0.03
